State,County,FIPS,State population age 18-64,State disability population age 18-64,State disability prevalence,State DI disabled workers,"State DI disabled workers per 1,000 persons age 18-64",State SSI recipients age 18-64,"State SSI recipients per 1,000 persons age 18-64",County population age 18-64,County disability population age 18-64,County disability prevalence,County DI disabled workers,"County DI disabled workers per 1,000 persons age 18-64",County SSI recipients age 18-64,"County SSI recipients per 1,000 persons age 18-64"
New York,Madison,36053,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,45067,4775,10.595335833314842,2100,46.59728848159407,728,16.15372667361928
New York,Monroe,36055,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,463179,53905,11.638049220711647,23940,51.68628111378107,11586,25.014087426243417
New York,Montgomery,36057,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,28963,4197,14.490902185547078,2145,74.06000759589821,919,31.730138452508378
New York,Nassau,36059,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,825713,44393,5.37632325033032,24700,29.913541387867213,6515,7.890150694006271
New York,New York,36061,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,1134362,75948,6.695217223426031,27880,24.57769213002551,21707,19.135866681006593
New York,Niagara,36063,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,129631,15521,11.973216283142149,8990,69.3506954355054,2976,22.957471592443163
New York,Oneida,36065,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,135076,16770,12.41523290591963,8825,65.3335899789748,3813,28.22855281471172
New York,Onondaga,36067,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,286859,30346,10.578716372852167,14310,49.88513520579797,6264,21.83651201461345
New York,Ontario,36069,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,65922,6698,10.160492703498074,3315,50.286702466551375,911,13.819362276629956
New York,Orange,36071,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,223460,23032,10.306990065336077,10070,45.063993555893674,2786,12.467555714669292
New York,Orleans,36073,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,23761,3270,13.762047051891754,1630,68.59980640545432,513,21.59000042085771
New York,Oswego,36075,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,75060,9837,13.105515587529975,4910,65.41433519850787,1725,22.981614708233415
New York,Otsego,36077,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,38133,4047,10.612855007473842,1870,49.03889020008916,736,19.300868014580548
New York,Putnam,36079,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,62432,4601,7.369618144541261,2225,35.63877498718606,401,6.422988211173758
New York,Queens,36081,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,1487855,95990,6.451569541386762,36485,24.52187881211543,17691,11.890271565441525
New York,Rensselaer,36083,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,101454,11571,11.40516884499379,5190,51.15618901176888,2046,20.166775090188658
New York,Richmond,36085,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,294703,22789,7.732870042042328,13755,46.67410918789425,4946,16.7829984764322
New York,Rockland,36087,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,183210,12538,6.8435129086840245,5230,28.54647672070302,1693,9.240761967141532
New York,St. Lawrence,36089,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,66538,8614,12.94598575250233,4610,69.28371757491959,2097,31.515825543298565
New York,Saratoga,36091,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,139626,11996,8.591523068769428,5840,41.82602094165843,1450,10.384885336541906
New York,Schenectady,36093,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,95345,10663,11.183596413026379,5120,53.69972206198542,2605,27.32183124442813
New York,Schoharie,36095,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,19276,2483,12.88130317493256,1125,58.36273085702428,391,20.28429134675244
New York,Schuyler,36097,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,10792,1583,14.668272794662712,740,68.56931060044477,NA,NA
New York,Seneca,36099,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,18947,2708,14.292500131947012,1305,68.87633926215233,400,21.11152161292025
New York,Steuben,36101,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,57464,7850,13.660726715856885,3785,65.86732562995964,1585,27.582486426284284
New York,Suffolk,36103,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,920343,66658,7.242734502245359,37530,40.77827505614755,10043,10.912235981585127
New York,Sullivan,36105,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,43973,5950,13.531030405021264,2890,65.72214768153185,1350,30.700657221476817
New York,Tioga,36107,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,28984,3297,11.375241512558654,1770,61.06817554512835,575,19.83853160364339
New York,Tompkins,36109,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,73873,5365,7.262463958415117,1925,26.058235079122277,803,10.870006633005293
New York,Ulster,36111,12272318,1079794,8.798614898994632,486265,39.62291394339684,232353,18.953782652230924,110215,11605,10.52941977044867,5945,53.940026312207955,2238,20.305766002812682
